5271,381,5
16320,3579,5
13985,3742,5
7178,759,5
20613,1582,5
6886,638,2
14441,655,5
14006,2641,5
14539,2105,5
21686,820,3
14851,2426,5
14635,2968,4
20136,538,5
15478,2850,4
18074,1518,5
10184,49,5
17669,815,5
23131,2022,4
13957,378,1
10159,1273,5
10801,3197,5
13045,3197,5
7298,2365,4
11994,3197,1
11869,3518,1
17139,3609,1
13806,1689,5
18072,1434,5
18521,2095,5
18529,101,1
17618,750,5
16495,359,5
18792,1287,3
13015,907,4
6371,3197,5
23274,2779,1
9350,2177,5
15062,2232,1
16777,2909,5
4005,1689,5
6836,374,5
18554,3942,5
18561,1577,1
2785,1884,5
20645,3416,5
21848,767,5
2590,223,5
13133,1434,5
7346,677,5
1718,749,5
21654,888,5
20635,689,1
6076,2864,5
20777,3506,5
4713,381,5
6233,1077,5
7735,2968,1
942,3518,5
10157,2766,2
10604,381,5
10694,2955,1
23527,3609,5
8064,2418,5
6425,3197,5
12202,3197,4
8598,3630,5
2645,2418,5
829,2859,4
13673,3197,5
459,3150,5
18953,2866,1
13935,1157,5
283,4021,3
961,1140,5
12854,3197,5
13624,2721,1
15361,3623,5
16243,1116,4
7124,839,5
17351,2105,1
20251,978,4
23753,3067,5
9909,4183,5
10846,3652,1
16559,160,5
2800,2909,3
14016,750,4
8850,231,5
9701,3988,5
10791,2612,5
15011,160,5
5659,32,2
3395,1493,5
6381,2857,4
452,2365,2
9598,3197,5
11304,2780,5
3647,1887,5
14580,3074,5
5975,3786,4
18319,103,5
11376,3549,5
4168,3119,5
22785,3509,5
840,2818,4
13598,3087,5
19614,219,5
2809,1265,3
4268,3808,5
5793,1870,5
19860,2857,4
16180,949,4
9845,80,2
434,4185,5
22211,3342,5
20581,381,5
1347,470,5
22742,381,4
8857,42,5
5965,3197,5
6160,683,5
16515,3069,4
10017,4096,5
9262,3419,5
9934,3119,1
15279,2524,5
7986,3672,5
3744,691,1
8272,1707,5
22580,1131,5
18753,2292,3
16680,1392,5
22033,3263,5
20324,1037,5
15764,3871,5
12895,498,5
16562,1915,1
7441,201,5
11209,3197,4
18636,1622,4
23637,2365,2
20624,442,5
15402,1425,5
11303,2380,5
2132,2501,4
18718,2418,4
12361,3197,5
639,3420,5
17965,1122,5
6861,245,2
14541,3197,5
345,1504,5
13744,245,5
3508,2418,5
21041,64,1
4793,2171,5
9306,1829,5
15836,381,5
1969,3988,5
19703,1313,1
5668,4147,5
16669,367,5
20559,2045,5
8546,3072,5
18016,2905,5
7538,2342,5
1290,1478,1
18903,240,3
17849,1137,5
7906,3234,5
3481,3623,5
7915,308,3
3630,3979,4
279,3477,5
23794,2909,5
12731,496,5
2839,750,5
5593,3342,5
2422,3197,5
